term,definition
노사협의회,노사협의회란 근로자와 사용자가 참여와 협력을 통하여 근로자의 복지증진과 기업의 건전한 발전을 도모하기 위하여 구성하는 협의기구를 말합니다
노임,노임이란 노동의 대가로 근로자에게 봉급 임금 등의 명칭으로 지급되는 금품을 말합니다
누진제,누진제란 형벌을 집행할 때 재판에서 선고한 형벌의 집행기간을 여러 단계로 나누고 형벌을 받은 사람의 개선 정도에 따라 점차 처우를 완화하는 제도를 말합니다
단기아르바이트,단기아르바이트란 본래의 직업 이외에 임시로 단기간 하는 일을 말합니다
단기알바,단기아르바이트란 본래의 직업 이외에 임시로 단기간 하는 일을 말합니다
당연퇴직,당연퇴직이란 근로관계가  당연히 종료되는 것을 의미하며 근로자의 사망 정년 근로계약기간 만료 등이 해당합니다
당직,당직이란 근무하는 곳에서 숙직이나 일직 등을 맡는 것을 말합니다
대기발령,대기발령이란 근로자가 계속 직무를 담당하게 될 경우 예상되는 업무상의 장애 등을 예방하기 위하여 일시적으로 직무에 종사하지 못하도록 하는 잠정적인 보직해제를 의미합니다
대표이사,대표이사란 이사회나 주주 총회에서 선임하여 회사를 대표하게 된 이사를 말합니다
도급,도급이란 수급인이 일정한 일을 완성할 것을 약정하고 도급인이 그 일의 결과에 대하여 보수를 지급할 것을 약정함으로써 성립하는 계약입니다
면책합의,면책합의란 단체협약이나 취업규칙에서 정한 징계사유에 해당하는 행위가 발생하였음에도 불구하고 해당 행위를 한 근로자에게 책임을 묻지 않기로 하는 노사간의 합의를 말합니다
명예퇴직,명예퇴직이란 근로자가 정년을 하기 전에 징계에 의하지 않고 스스로 신청하여 직장을 그만둠을 말합니다
명예퇴직금,명예퇴직금이란 정년 연령에 도달하지 않은 근로자들에게 사직의 형태로 조기 퇴직을 유도하면서 지급하는 금전적 보상을 말합니다
무급휴가,무급휴가는 근로자가 예상치 못한 원인으로 임금을 받지 않고 쉬는 것을 말합니다 무급휴가에는 생리휴가 교육휴가 등이 해당합니다
무단결근,무단결근이란 근로자가 정당한 이유 없이 근로계약에서 정한 근무일에 사업장에 나오지 않는 것을 않는 것을 말합니다
무단퇴사,무단 퇴사란 사전에 연락이나 허락이 없이 퇴사하는 것을 의미합니다
무주택자,무주택자란 본인 소유의 주택이 없는 사람을 말합니다
민사소송,민사소송이란 개인 사이에 일어나는 사법상의 권리 또는 법률관계에 대한 분쟁을 가리기 위한 재판 절차를 말합니다
발령,발령이란 임명 해임 등 직책이나 직위와 관계된 명령을 내리는 것 또는 그 명령을 말합니다
법정공휴일,법정 공휴일이란 관공서의 공휴일에 관한 규정에 의해 공휴일이 된 날을 말합니다 현행 관공서의 공휴일에 관한 규정은 일요일 국경일  중 절 광복절 개천절 및 한글날 월 일 설날 석가탄신일 어린이날 현충일 추석 성탄절 임기만료에 의한 선거의 선거일 기타 정부에서 수시로 정하는 날 등을 공휴일로 하고 있습니다
법정수당액,법정수당액이란 그 금액의 산출과 지급 기준에 대해서 법에 규정해 놓은 수당을 말합니다
법정휴일,법정휴일은 근로기준법 상의 주휴일과 근로자의 날월 일이 해당됩니다
벤처기업,벤처기업이란 고도의 전문 지식과 새로운 기술을 가지고 창조적모험적 경영을 전개하는 중소기업을 말합니다
병가,병가란 몸이 아파서 얻는 휴가입니다
보건증,보건증이란 건강 진단 수첩의 이전 말로 타인에게 위해를 끼칠 질병이 없다는 것을 확인하고 교부하는 증서를 말합니다
보너스,보너스란 관청이나 회사에서 정기 급여와는 별도로 업적이나 공헌도에 따라 직원에게 주는 돈 상여금을 말합니다
보이콧,보이콧이란 노동조합이 사용자 또는 그와 거래관계에 있는 제자의 상품의 구입 또는 시설서비스의 이용을 집단적으로 거부하거나 근로계약의 체결을 거부할 것을 호소하는 쟁의행위를 말합니다
보직해임,보직해임이란 담당하고 있는 직무 또는 직책을 정지시키는 것을 말합니다
보험급여,보험급여란 보험에 가입한 사람에게 지급되는 돈을 말합니다
복지,복지란 좋은 건강 윤택한 생활 안락한 환경들이 어우러져 행복한 삶을 누릴 수 있는 상태를 의미합니다
부당이득반환소송,부당이득 반환소송이란 법률상 원인 없이 손해를 주면서 얻은 이익에 대해 권리자가 반환을 청구하는 소송을 의미합니다
부당해고,부당해고란 사용자가 근로자에 대하여 정당한 이유 없이 근로계약관계를 종료시키겠다는 뜻을 일방적으로 통지하는 것을 말합니다
부당해고수당,부당해고수당이란 정확한 법적용어가 아니라 부당해고로 근로를 제공하지 못하여 근로자가 사용자에게 손해배상 또는 구제신청을 통해 부당해고기간 동안에 정상적으로 일을 계속하였더라면 받을 수 있었던 임금을 말합니다
불법체류자,불법체류자는 다른 나라에 불법으로 머물고 있는 사람을 말합니다
비번,비번이란 숙직이나 당직 당번을 설 차례가 아님을 말합니다
비위행위,사용자와 근로자의 관계에서 비위행위란 법령 취업규칙이나 단체협약 등 근로관계에 있어서 적용되는 규정을 위반한 것 또는 그러한 일을 말합니다
비정규직,비정규직이란 근로 방식 근로 시간 고용의 지속성 등에서 정규직과 달리 보장을 받지 못하는 정식으로 채용되지 않은 직위나 직무를 의미합니다 계약직 임시직 일용직 등이 이에 속합니다
사내규정,사내규정이란 사용자 측에서 자체적으로 만든 규칙을 말합니다
사무직,사무직이란 주로 책상에서 문서 따위를 다루는 일을 하는 직업 또는 그런 분야에 일하는 직원을 말합니다
사실심변론종결시,사실심 변론 종결시란 심 재판에 대하여 항소한 경우에는 심 재판의 변론이 종결된 때를 의미하고 심 재판에 대하여 항소하지 않은 경우에는 심 재판의 변론이 종결된 때를 의미합니다
사업장,사업장이란 어떤 사업의 활동을 해 나가는 장소를 의미합니다
사직,사직은 근로자가 사용자에게 근로계약관계를 종료하겠다는 의사를 표시하는 것을  말합니다
사직서,사직서란 맡은 직무를 내놓고 그만두겠다고 청원하는 서류를 말합니다
사표,사표란 근로자가 사용자에게 사직의 의사표시를 하기 위해 작성하는 문서를 말합니다
사학연금,사학연금이란 사립학교 교직원이 퇴직하거나 사망했을 경우 및 직무상 질병이나 부상 장애에 대해 급여를 지급하는 제도다
산업재해,산업재해산재란 노동 과정에서 업무상 발생하는 사고 또는 근로자의 신체적정신적 피해를 말합니다
산재,산업재해산재란 노동 과정에서 업무상 발생하는 사고 또는 근로자의 신체적정신적 피해를 말합니다
산업재해보상,산업재해보상이란 근로자가 업무상 발생하는 사고 또는 근로자의 신체적정신적 피해를 보상하는 것을 말합니다
산업재해보상보험,산업재해보상보험산재보험이란 국가가 보험제도를 운영하고 사용자는 의무적으로 보험에 가입하여 보험료를 납부함으로써 산업재해를 당한 근로자가 국가로부터 보상급여를 받도록 한 제도를 말합니다
산재보험,산업재해보상보험산재보험이란 국가가 보험제도를 운영하고 사용자는 의무적으로 보험에 가입하여 보험료를 납부함으로써 산업재해를 당한 근로자가 국가로부터 보상급여를 받도록 한 제도를 말합니다
살쾡이파업,살쾡이파업은 노동조합 지도부가 주관하지 않은 비공인 파업을 말합니다
상병보상연금,상병보상연금은 요양급여를 받는 근로자가 요양한지 년이 넘어도 치유가 되지 않고 폐질등급급 기준에 해당되는 경우와 장해보상연금을 받고 있던 근로자가 부상 또는 질병이 악화되어 다시 요양을 하는 경우에 휴업급여 대신에 지급하는 것을 말합니다산업재해보상보험법 제조 제항
상병휴가,상병휴가란 근로자가 업무상 부상 또는 질병의 요양을 위하여 휴업하는 것을 말합니다
상여금,상여금상여이란 관청이나 회사에서 정기 급여와는 별도로 업적이나 공헌도에 따라 직원에게 주는 돈을 의미합니다
상여,상여금상여이란 관청이나 회사에서 정기 급여와는 별도로 업적이나 공헌도에 따라 직원에게 주는 돈을 의미합니다
상해,상해란 신체의 완전성을 침해하거나 생리적 기능을 훼손하는 것을 말합니다 예를 들어 다른 사람한테 맞아 부상을 당한 경우 교통사고로 부상을 입은 경우 등이 상해가 발생한 경우입니다
생리휴가,생리휴가란 근로기준법에 의거하여 생리 때의 여성 근로자에게 주는 휴가를 말합니다
생산관리,생산관리란 노동조합이 사업장 또는 공장을 점거하여 직접 기업경영을 행하는 쟁의행위를 말합니다
선거일,선거일이란 선거를 하는 날을 말합니다
선택적근로시간제,선택적 근로시간제란 근로시간 내에서 업무의 시기 및 종기를 근로자가 자유로이 결정하여 근무하도록 하는 근로시간제도를 말합니다
성과급,성과급이란 주어진 작업의 성과를 기준으로 지급되는 임금을 의미합니다
성과급제,성과급제란 근로자의 성과나 능률을 기준으로 하여 임금을 지급하는 제도를 말합니다
성희롱,성희롱이란 상대방의 의사와 관계없이 성적으로 수치심을 주는 말이나 행동을 말합니다 한편 남녀고용평등법상의 직장 내 성희롱이란 사업주 상급자 또는 근로자가 직장 내의 지위를 이용하거나 업무와 관련하여 다른 근로자에게 성적인 언동 등으로 성적 굴욕감 또는 혐오감을 느끼게 하거나 성적 언동 그 밖의 요구 등에 대한 불응을 이유로 고용에서 불이익을 주는 것을 말합니다
세금,국가 또는 지방 단체가 필요한 경비로 사용하기 위해서 국민이나 주민으로부터 강제로 거두어들이는 돈
소급,소급이란 어떤 영향이나 효력을 과거에까지 거슬러 올라가서 미치게 함을 의미합니다
소사장제,소사장제란 생산성향상 등 기업의 경쟁력 회복을 위해 동일 사업 내에서 생산라인 또는 공정의 일부에 대해 독립경영체제를 형성하는 소규모 경영방식을 말합니다 일반적으로 생산직 간부에게 생산공정의 일부를 책임지게 해 부품을 생산하게 하는 일종의 도급생산 방식으로 최근 중소기업들이 불황을 해결하기 위해 도입한 신경영기법이다
소액체당금,소액체당금이란 회사가 임금을 어떠한 이유로 인해 지급하지 않았을 때 이 금액을 정부에서 보전 받는 것을 말합니다
소의이익,소의 이익이란 당사자가 소송제도를 이용할 정당할 이익 또는 필요성을 말합니다
소의취하,소의 취하란 소를 제기한 자가 스스로 소의 전부나 일부를 철회하는 것을 말합니다
손해배상,타인에게 입힌 손해를 메워 손해가 발생하지 않은 것과 같은 상태로 복귀시키는 것을 말합니다
손해배상액,손해배상액이란 위법한 행위로 인하여 타인에게 손해를 끼친 경우 손해가 없었던 것과 동일한 상태로 복귀시키기 위해 지급해야할 액수를 말합니다
수당,수당이란 정해진 급여 이외에 특별한 사유에 따라 정기적 혹은 때때로 지급되는 금품을 의미합니다
수습근로자,수습 근로자란 근로자로 정식채용된 이후에 기업의 필요에 따라 교육훈련이나 연수를 받고 있는 근로자를 말합니다
수습기간,수습기간이란 실제적이고 구체적인 업무를 배워 익히는 기간을 의미합니다
수혜자,수혜자란 혜택을 받는 사람을 말합니다
승급,승급이란 봉급이나 급료가 오르는 것을 의미합니다
승소,승소란 소송 당사자인 원고나 피고가 소송에서 이기는 것을 말합니다
시간급,시간급이란 임금을 시간 단위로 계산하여 지급하는 방식을 말합니다
시간급근로자,시간급근로자는 근로한 시간을 기준으로 임금을 계산하여 지급받는 근로자를 말합니다
시간외근무,시간외근무란 근무자가 법정근로시간을 초과하여 근무하는 것을 말하며 초과근무라고도 합니다
시간외근무수당,시간외근무수당이란초과근무수당 근무자가 법정근로시간을 초과하여 근무하였을 경우에 근로기준법에 따라 초과한 근로에 대해 지급하는 수당을 말합니다
초과근무수당,시간외근무수당이란초과근무수당 근무자가 법정근로시간을 초과하여 근무하였을 경우에 근로기준법에 따라 초과한 근로에 대해 지급하는 수당을 말합니다
시급,시급이란 노동한 시간에 따라 한 시간에 얼마씩 계산하여 지급되는 임금을 의미합니다
시용,시용이란 본채용 또는 확정적 근로계약 체결 전에 근로자의 직업적성이나 업무능력을 평가하기 위해 시험적으로 사용하는 기간을 두는 것을 말합니다
시용계약관계,시용계약관계는 시용기간이 적용되는 근로계약관계를 말하는데 시용기간은 근로자를 정규직원으로 채용하기 이전에 입사 후 일정기간을 근무하게 하면서 근로자의 적성이나 업무능력을 파악할 목적으로 설정된 기간을 의미합니다  시용계약관계는 일종의 해약권유보부 근로계약에 해당하는데 시용기간은 근로계약 체결에 있어 시용기간이 당사자 사이에 약정된 경우에만 인정됩니다
시용기간,시용기간이란 사용자가 근로자를 정규직원으로 채용하기 전에 그 적격성을 판단하기 위하여 근로계약을 유보한 상태에서 근로관계를 갖는 일정한 기간을 말합니다
식대,식대란 음식에 대해 치르는 값을 말합니다
신입,신입이란 어떤 모임이나 단체에 새로 들어온 사람을 말합니다
신탁등기,신탁등기란 어떤 사람이나 단체가 다른 사람이나 단체에게 재산을 맡겨 관리하거나 처분하게 한 재산임을 공시하기 위하여 하는 재산권의 이전 등기를 의미합니다
실수령액,실수령액이란 근로소득세 건강보험료 국민연금 고용보험료 등을 제외한 실제로 받는 금액을 말합니다
실습생,실습생이란 이미 배운 내용을 토대로 실제로 해보고 기술을 익히는 학생을 의미합니다
실업급여,실업급여란 정부 고용인 피고용자가 공동으로 비용을 분담하는 사회 보험 제도의 하나로 근로자가 실직할 경우 일정 금액 지급을 받는 것을 말합니다
실업수당,실업수당이란 실업 보험의 규약에 따라 실업자에게 지급되는 수당을 말합니다
실적,실적이란 어떤 일을 통해 실제로 이룬 업적이나 결과를 의미합니다
실형,실형이란 집행유예가 없는 금고형이나 징역형을 의미합니다
아르바이트,아르바이트알바란 본래의 직업 이외에 임시로 하는 일을 의미합니다
알바,아르바이트알바란 본래의 직업 이외에 임시로 하는 일을 의미합니다
아웃소싱,아웃소싱이란 기업 업무의 일부 부문이나 과정을 경영 효과 및 효율의 극대화를 위해서 제삼자에게 맡겨 처리하는 것을 말합니다
야간근로,야간근로란 오후 시부터 다음날 오전 시까지의 근로를 말합니다
야간근로수당,야간근로수당야간수당이란 사용자가 근로자에게 야간근로오후 시부터 다음날 오전 시까지 하는 근로를 시킬 경우에 지급하는 수당입니다
야간수당,야간근로수당야간수당이란 사용자가 근로자에게 야간근로오후 시부터 다음날 오전 시까지 하는 근로를 시킬 경우에 지급하는 수당입니다
야간근로시간,야간근로시간이란 오후시부터 오전시 사이에 발생한 근로 중 휴게시간을 제외한 실제근로시간을 말합니다
약식기소,약식기소란 검사가 범죄를 저지른 피의자에 대하여 징역형이나 금고형보다 벌금형이 상당하다고 생각되는 경우에 법원에 기소함과 동시에 벌금형에 처해 달라는 뜻의 약식명령을 청구하는 것을 말합니다
업무상재해,업무상 재해란 업무상의 사유에 의한 근로자의 부상이나 질병 신체장애 사망 등을 일컫는 말입니다
업무추진비,업무추진비란 공적인 일을 처리하는 데 사용하는 비용을 말합니다
연금,연금이란 근로자 또는 국민이 보험료를 일정기간 납부하고 노령퇴직폐질사망 등의 보험사고가 발생하였을 때 지급받는 급여를 말합니다
연대파업,연대파업이란 다른 노동조합의 파업을 지원할 목적으로 행하는 파업을 말합니다
연봉,연봉이란 일 년 동안에 받는 급여의 총액을 말합니다
연봉계약,연봉계약이란 근로자가 년 동안 근로를 제공하고 이에 대해 회사는 그 대가를 지불하기로 약정하는 것을 의미합니다
연봉계약서,연봉계약서란 연봉제 근로자의 근로계약을 체결하기 위하여 작성하는 문서입니다
연봉제,연봉제란 급여를 일 년 단위로 계산하여 결정하고 매월 지급하는 제도를 말합니다
연장근로시간,연장근로연장근로시간란 근로기준법의 법정근로시간일반 근로자의 경우에는 일에 시간 주일에 시간을 초과하는 근로를 말합니다
연장근로,연장근로연장근로시간란 근로기준법의 법정근로시간일반 근로자의 경우에는 일에 시간 주일에 시간을 초과하는 근로를 말합니다
연장근로수당,연장근로수당연장수당이란 근무자가 법정근로시간을 초과하여 근무하였을 경우에 근로기준법에 따라 초과한 근로에 대해 지급하는 수당을 말합니다
연장수당,연장근로수당연장수당이란 근무자가 법정근로시간을 초과하여 근무하였을 경우에 근로기준법에 따라 초과한 근로에 대해 지급하는 수당을 말합니다
연차유급휴가,연차유급휴가연차휴가란 년간 퍼센트 이상 출근한 근로자에게 주는 유급휴가로서 년에 일만큼을 주어야 하는 유급휴가를 말합니다근로기준법 제조 제항
연차휴가,연차유급휴가연차휴가란 년간 퍼센트 이상 출근한 근로자에게 주는 유급휴가로서 년에 일만큼을 주어야 하는 유급휴가를 말합니다근로기준법 제조 제항
연차,연차유급휴가연차휴가란 년간 퍼센트 이상 출근한 근로자에게 주는 유급휴가로서 년에 일만큼을 주어야 하는 유급휴가를 말합니다근로기준법 제조 제항
연차유급휴가수당,연차유급휴가수당연차수당이란 재직 중인 근로자가 연차유급휴가를 사용할 때  당일에 대한 통상임금 또는 평균임금 범위 내에서 지급하는 수당을 말합니다
연차수당,연차유급휴가수당연차수당이란 재직 중인 근로자가 연차유급휴가를 사용할 때  당일에 대한 통상임금 또는 평균임금 범위 내에서 지급하는 수당을 말합니다
영업양도,영업양도란 사업의 전부 또는 일부를 일체로서 다른 회사나 개인에게 양도하는 것을 말합니다
요양급여,요양급여란 근로자가 업무상의 사유로 부상을 당하거나 질병에 걸린 경우에 산업재해보상보험버에 따라 근로복지공단이 근로자에게 지급되는 보험급여를 말합니다산업재해보상보험법 제조 제항
요양보호사,요양보호사는 치매중풍 등 노인성 질환으로 독립적인 일상생활이 어려운 노인들을 위해 노인요양 및 재가시설에서 신체 및 가사 지원 서비스를 제공하는 직업을 일컫는 말이다
우선변제권,우선변제권이란 다른 채권보다 우선하여 자기의 채권을 변제를 받을 권리를 말합니다
월급,일한 대가로 한 달을 단위로 받는 돈을 의미합니다
월급제,월급제란 개월을 단위로 임금을 계산하여 지급하는 제도를 말합니다
월차,월차란 개월 개근한 근로자에 대해 익월에 부여하는 일의 휴가를 말합니다
유급휴가,유급휴가란 일정한 근로일수를 근로한 자에게 휴일을 주고 임금을 지급하는 제도를 말합니다
유니온숍조항,유니온 숍 조항은 일단 고용된 근로자는 일정한 기간 내에 반드시 노동조합에 가입해야 할 것을 정한 단체협약의 조항을 말합니다 유니온 숍 협정이 있는 경우 고용된 근로자가 일정 기간 내에 조합에 가입하지 않거나 가입한 조합으로부터 탈퇴하는 경우 사용자는 그 근로자를 해고해야 할 의무를 지게 됩니다
유족급여,유족급여란 근로자가 업무상의 사유로 사망한 경우에 유족에게 지급되는 급여를 말합니다산업재해보상보험법 제조 제항
육아휴직,육아휴직이란 근로자가  만 세 이하의 취학 전 자녀의 양육을 위하여 그 신분과 자격은 유지하면서 일정한 기간 동안 휴직할 수 있는 제도입니다
의원면직,의원면직의원사직은 근로자의 일방적 의사표시에 의한 근로계약관계의 해지를 말합니다
의원사직,의원면직의원사직은 근로자의 일방적 의사표시에 의한 근로계약관계의 해지를 말합니다
이사회,이사회란 회사의 업무 집행에 관한 의사 결정 기관을 말하는 것으로 이사 전원으로 구성됩니다
이직,이직이란 직장이나 직업을 바꾸는 것을 말합니다
이직확인서,이직확인서란 직장에서 퇴사한 사실을 확인하기 위한 서식으로 퇴사를 하게 된 원인과 배경을 자세하게 서술하여 확인하는 것이 핵심입니다
인사이동,인사이동이란 관공서나 회사 등의 조직체 안에서 직원 사원의 지위나 근무부서를 바꾸는 일을 말합니다
인센티브,인센티브 제도란 경영목표를 도달한 정도에 따라 집단 혹은 개인에게 지급하는 금전적 및 비금전적 보상계획과 급여계획을 말합니다
인센티브제도,인센티브 제도란 근로자에 대한 급여를 책정하는 방식에 있어 고정급 이외에 업무의 성과에 따라 별도로 성과급을 지급하는 방식으로 급여를 책정하는 제도를 의미합니다
인수인계,인수인계란 사람이 업무를 넘겨주고 이어받는 것을 말합니다
인턴,인턴이라는 용어는 법적용어가 아니라 다양한 의미를 가질 수 있으나 일반적으로 회사에 정식으로 채용되지 않은 채 실습과정을 밟는 사원을 말합니다
일급,일급이란 일 근로에 대한 임금을 말합니다
일당,일당이란 하루에 일한 대가로 얼마씩 정하여 받는 수당이나 보수를 의미합니다
일당제,일당제란 하루를 단위로 품삯을 계산하여 주는 제도를 말합니다
일용직근로자,일용직근로자일용근로자란 일 단위의 계약기간으로 고용되어 고용 당일에 근로계약이 종료되는 경우의 근로자를 말합니다
일용근로자,일용근로자일용직근로자란 일 단위의 계약기간으로 고용되어 고용 당일에 근로계약이 종료되는 경우의 근로자를 말합니다
일용직,일용직근로자일용근로자란 일 단위의 계약기간으로 고용되어 고용 당일에 근로계약이 종료되는 경우의 근로자를 말합니다
임금삭감,임금삭감이란 동일한 근로에 대해 일정한 시점 이후부터 이전보다 임금을 낮추어 지급하는 것을 말합니다
임금상당액,임금상당액이란 임금에 해당하는 금액 또는 임금에 맞먹는 금액을 의미합니다
임금체불,임금체불이란 사용자가 근로자에게 정한 기한 이내에 임금을 지급하지 않은 상태를 말합니다 회사가 일방적으로 임금이나 상여금을 삭감한 경우 상여금을 근로자의 동의 없이 반납 처리한 경우 퇴직금을 당사자 동의 없이 퇴직한 때로부터 일 이내에 지급하지 않을 경우에도 임금체불에 해당합니다
임금체불확인원,체불금품확인원임금체불확인언이란 임금이 체불된 사실과 그 내역을 구체적으로 확인하기 위한 서식을 말합니다
체불금품확인원,체불금품확인원임금체불확인언이란 임금이 체불된 사실과 그 내역을 구체적으로 확인하기 위한 서식을 말합니다
임원,임원이란 어떤 단체에 소속하여 그 단체의 운영과 감독 등의 중요한 일을 맡아서 처리하는 사람을 말합니다
임의퇴직,임의퇴직이란 근로자의 일방적인 사직의 의사표시에 의하여 근로관계를 종료시키는 것을 말합니다
자녀장려금,자녀장려금이란 출산을 장려하고 저소득 가구의 자녀 양육 부담을 줄여 주기 위해 부양 자녀가 있는 저소득층에 대해 가구원 구성 총소득 재산 상황 총 급여액 정도에 따라 지급하는 돈을 말합니다
자영업자,자영업자란 자신의 사업을 직접 경영하는 사람을 말합니다
잔업,잔업이란 정해진 노동시간이 끝난 뒤에 더 하는 일을 말합니다
잔업특근,잔업 특근이란 정해진 노동시간이 끝난 뒤에 특별히 더 근무하는 것 또는 그렇게 하는 근무를 말합니다
잔업수당,잔업수당이란 법정근로시간을 초과하여 근무하였을 경우에 근로기준법에 따라 초과한 근로에 대해 지급하는 수당을 말합니다
장해급여,장해급여란 근로자가 업무상의 사유로 부상을 당하거나 질병에 걸려서 치료한 후에도 신체에 노동력 상실이나 감소 상태가 남은 경우 그 정도에 따라서 지급하는 보험급여를 말합니다산업재해보상보험법 제조 제항
재계약,재계약이란 한번 계약했던 일의 기한이 끝나 계약을 다시 맺는 것 또는 그 계약을 의미합니다
재고용,재고용이란 근로계약이 종료된 근로자를 다시 고용하는 것을 의미합니다
재심판정,재심판정이란 중앙노동위원회가 재심신청의 이유 유무에 대하여 판단하는 것을 말합니다
재입사,재입사란 그만둔 회사에 다시 취직하여 들어가는 것을 의미합니다
재직,재직이란 어떤 직장에 소속되어 근무하거나 어떤 직무를 맡아 일하는 것을 말합니다
재직자,재직자란 어떤 직장에 소속되어 근무하거나 어떤 직무를 맡아 일하는 사람을 말합니다
쟁의행위,쟁의행위란 파업 태업 직장폐쇄 기타 노동관계 당사자가 그 주장을 관철할 목적으로 행하는 행위와 이에 대항하는 행위로서 업무의 정상적인 운영을 저해하는 행위를 말합니다노동조합 및 노동관계조정법 제조 제호
전별금,전별금이란 떠나는 자에게 아쉬움의 표현으로 주는 금품이나 돈을 의미하며 일반적으로 회사를 떠나는 퇴직자나 전근자에게 지급합니다
정규직,정규직이란 기간을 정하지 않고 정년까지의 고용이 보장되며 정식으로 맡은 직위나 직무를 말합니다
정년,정년이란 직장에서 직원이 퇴직하도록 정하여져 있는 나이를 말합니다
정년퇴직,정년퇴직이란 미리 정해진 일정한 연령에 도달하면 근로관계를 종료시키는 것을 말합니다
정치파업,정치파업이란 행정부나 국회를 상대방으로 하는 파업을 말하며 사용자를 상대방으로 하는 파업인 노동법상의 파업과 대칭되는 개념입니다
조건부퇴직,조건부퇴직이란 근로자 측에 징계해고사유에 해당하는 비위사실이 있거나 외부의 압력에 의하여 회사가 근로자에게 먼저 사직을 권고하고 그 근로자가 일정 기간 내에 사직서를 제출하면 의원퇴직으로 처리하는 것을 말합니다
조기재취업수당,조기재취업 수당은 고용보험법상의 취업촉진 수당의 일종으로서 수급자격자가 안정된 직업에 재취직하거나 스스로 영리를 목적으로 하는 사업을 영위하는 경우로서 고용보험법 시행령에서 정하는 기준에 해당하면 지급되는 수당을 말합니다
조합비일괄공제제도,조합비일괄공제제도는 사용자가 노동조합을 위하여 조합원인 근로자의 임금으로부터 조합비를 공제하여 직접 노동조합에 지급하는 것을 말하며 조합비일괄공제제도는 노동조합과 사용자가 단체협약으로 정하는 경우에 도입될 수 있습니다
종업원,종업원은 어떤 업무에 종사하는 사람을 말합니다
주급,주급이란 한 주를 단위로 해서 주는 급료를 말합니다
주급제,주급제란 임금을 주단위로 지급하는 제도를 말합니다
주말수당,주말수당이란 주말에 근무한 대가로 지급되는 수당으로 시간외근무수당을 말합니다
주야교대,주야교대란 주간근무조 근로자와 야간근무조 근로자가 교대로 시간 내내 근로를 제공하는 것을 말합니다
주휴수당,주휴수당주차수당이란 주 동안 소정근로일을 개근한 자에게 주어지는 유급휴일에 대한 수당을 말합니다
주차수당,주휴수당주차수당이란 주 동안 소정근로일을 개근한 자에게 주어지는 유급휴일에 대한 수당을 말합니다
주휴일제도,주휴일제도란 사용자가 주간의 소정근로일을 개근한 노동자에게 주일에 평균 회 이상 유급으로 휴일을 부여하는 제도를 말합니다
준법투쟁,준법투쟁이란 근로자들이 그들의 주장을 관철하기 위하여 법규정을 엄격히 준수하거나 법률에 정한 근로자의 권리를 동시에 집단적으로 행사하여 평상시에 비해 사업능률을 저하시킴으로써 사용자의 업무를 저해하는 쟁의행위를 말합니다
중간수입,중간수입이란 부당해고를 당한 근로자가 해고기간 동안 다른 직장에 종사하여 얻은 수입을 말합니다
중앙노동위원회,중앙노동위원회란 노동관계에서 발생하는 노사간의 이익 및 권리 분쟁을 관장하는 근로자위원 사용자위원 공익위원으로 구성된 합의제 행정기관을 말합니다
즉시해고,근로기준법상 사용자가 근로자를 해고하려면 적어도 일 전에 해고예고를 하거나 또는 일분 이상의 통상임금을 적용해야 하는데 이와 같은 근로기준법상의 해고예고제도가 적용되지 않는 해고를 즉시해고라 합니다
지방노동청,지방노동청지청이란 고용노동부의 소속기관으로서 각 지방별로 지방청과 지청을 두고 있는데 각 지역을 관할하는 고용노동분야의 특별 행정기관입니다
지청,지방노동청지청이란 고용노동부의 소속기관으로서 각 지방별로 지방청과 지청을 두고 있는데 각 지역을 관할하는 고용노동분야의 특별 행정기관입니다
지연이자,지연이자란 금전채무의 이행지체 시 이에 대한 손해배상으로 지급되는 이자를 말합니다
직권면직,직권면직이란 공무원의 의사와 관계없이 국가의 일방적인 의사에 따라 공무원을 그 직위나 직무에서 물러나게 하는 것을 말합니다
직급정년제,직급정년제란 직급별로 정년 나이를 정해 놓는 제도로 특정 직급에서 정해진 정년 나이가 될 때까지 승진하지 못하면 자동적으로 퇴직하게 하는 제도를 말합니다
직업재활급여,직업재활급여란 취업을 하거나 사업장에 복귀하는 경우에 직업훈련 등을 위하여 지급되는 급여를 말합니다산업재해보상보험법 제조 제항
직원,직원이란 일정한 직장에 소속되어 일하는 사람을 의미합니다
직위해제,직위해제란 근로자가 직무수행능력이 부족하거나 근무성적 또는 근무태도 등이 불량한 경우 근로자에 대한 징계절차가 진행중인 경우 또는 근로자가 형사사건으로 기소된 경우 등에 있어서 당해 근로자가 장래에 있어서 계속 직무를 담당하게 될 경우 예상되는 업무상의 장애 등을 예방하기 위하여 일시적으로 당해 근로자에게 직위를 부여하지 아니함으로써 직무에 종사하지 못하도록 하는 잠정적인 조치로서의 보직의 해제를 의미합니다
직장점거,직장점거는 파업의 실효성을 높이기 위하여 파업에 참가한 근로자들이 사용자의 의사에 반하여 직장에 체류하는 쟁의행위를 말합니다
징계면직,징계면직이란 징계조치의 일환으로서 사용자자 비위행위를 저지른 근로자를 해고하는 것을 말합니다
징계양정,징계양정이란 징계혐의자의 비위 유형 비위 정도 과실의 경중과 평소 행실 근무성적 공적 뉘우치는 정도 기타 그 밖의 정상 등을 참작하여 징계수위를 결정하는 것을 말합니다
차량유지비,차량유지비란 구입한 차량을 수리하거나 관리하는 데 드는 비용을 말합니다
